DATE,DATE,ASK PRICE,BID PRICE,OPT STRIKE PRICE,OPEN INTEREST,OPT EXERCISE PRICE,PRICE HIGH,PRICE LOW,OPENING PRICE,Instrument,exp_date,type
2017-10-27,2017-10-27,1478.4,1472.1,1100.0,655.0,1100,1475.25,1475.25,1475.25,SPX01181100C,2018-01-19,C
2017-10-27,2017-10-27,0.2,0.05,1100.0,2494.0,1100,0.125,0.125,0.125,SPX01181100P,2018-01-19,P
2017-10-27,2017-10-27,1453.5,1447.2,1125.0,45.0,1125,1450.35,1450.35,1450.35,SPX01181125C,2018-01-19,C
2017-10-27,2017-10-27,1428.6,1422.3,1150.0,0.0,1150,1425.45,1425.45,1425.45,SPX01181150C,2018-01-19,C
2017-10-27,2017-10-27,0.25,0.05,1150.0,417.0,1150,0.15,0.15,0.15,SPX01181150P,2018-01-19,P
2017-10-27,2017-10-27,1403.7,1397.4,1175.0,0.0,1175,1400.55,1400.55,1400.55,SPX01181175C,2018-01-19,C
2017-10-27,2017-10-27,0.25,0.05,1175.0,189.0,1175,0.15,0.15,0.15,SPX01181175P,2018-01-19,P
2017-10-27,2017-10-27,1378.8,1372.5,1200.0,98.0,1200,1375.65,1375.65,1375.65,SPX01181200C,2018-01-19,C
2017-10-27,2017-10-27,0.25,0.1,1200.0,5167.0,1200,0.175,0.175,0.175,SPX01181200P,2018-01-19,P
2017-10-27,2017-10-27,1353.9,1347.6,1225.0,12.0,1225,1350.75,1350.75,1350.75,SPX01181225C,2018-01-19,C
2017-10-27,2017-10-27,0.25,0.05,1225.0,749.0,1225,0.15,0.15,0.15,SPX01181225P,2018-01-19,P
2017-10-27,2017-10-27,1304.1,1297.8,1275.0,75.0,1275,1300.95,1300.95,1300.95,SPX01181275C,2018-01-19,C
2017-10-27,2017-10-27,0.3,0.1,1275.0,2005.0,1275,0.2,0.2,0.2,SPX01181275P,2018-01-19,P
2017-10-27,2017-10-27,1279.2,1273.0,1300.0,220.0,1300,1276.1,1276.1,1276.1,SPX01181300C,2018-01-19,C
2017-10-27,2017-10-27,0.3,0.15,1300.0,815.0,1300,0.225,0.225,0.225,SPX01181300P,2018-01-19,P
2017-10-27,2017-10-27,1254.3,1248.1,1325.0,19.0,1325,1251.2,1251.2,1251.2,SPX01181325C,2018-01-19,C
2017-10-27,2017-10-27,0.35,0.15,1325.0,570.0,1325,0.25,0.25,0.25,SPX01181325P,2018-01-19,P
2017-10-27,2017-10-27,1204.5,1198.3,1375.0,140.0,1375,1201.4,1201.4,1201.4,SPX01181375C,2018-01-19,C
2017-10-27,2017-10-27,0.3,0.2,1375.0,1020.0,1375,0.25,0.25,0.25,SPX01181375P,2018-01-19,P
2017-10-27,2017-10-27,1179.7,1173.4,1400.0,169.0,1400,1176.55,1176.55,1176.55,SPX01181400C,2018-01-19,C
2017-10-27,2017-10-27,0.3,0.2,1400.0,18892.0,1400,0.25,0.25,0.25,SPX01181400P,2018-01-19,P
2017-10-27,2017-10-27,1129.9,1123.7,1450.0,1.0,1450,1126.8,1126.8,1126.8,SPX01181450C,2018-01-19,C
2017-10-27,2017-10-27,0.45,0.25,1450.0,1140.0,1450,0.35,0.35,0.35,SPX01181450P,2018-01-19,P
2017-10-27,2017-10-27,1105.0,1098.8,1475.0,18.0,1475,1101.9,1101.9,1101.9,SPX01181475C,2018-01-19,C
2017-10-27,2017-10-27,0.5,0.3,1475.0,973.0,1475,0.4,0.4,0.4,SPX01181475P,2018-01-19,P
2017-10-27,2017-10-27,1080.1,1073.9,1500.0,122.0,1500,1077.0,1077.0,1077.0,SPX01181500C,2018-01-19,C
2017-10-27,2017-10-27,0.5,0.35,1500.0,6444.0,1500,0.425,0.425,0.425,SPX01181500P,2018-01-19,P
2017-10-27,2017-10-27,1055.2,1049.0,1525.0,38.0,1525,1052.1,1052.1,1052.1,SPX01181525C,2018-01-19,C
2017-10-27,2017-10-27,0.5,0.3,1525.0,415.0,1525,0.4,0.4,0.4,SPX01181525P,2018-01-19,P
2017-10-27,2017-10-27,1030.3,1024.2,1550.0,42.0,1550,1027.25,1027.25,1027.25,SPX01181550C,2018-01-19,C
2017-10-27,2017-10-27,0.55,0.35,1550.0,2133.0,1550,0.45,0.45,0.45,SPX01181550P,2018-01-19,P
2017-10-27,2017-10-27,1005.5,999.3,1575.0,3.0,1575,1002.4,1002.4,1002.4,SPX01181575C,2018-01-19,C
2017-10-27,2017-10-27,0.55,0.35,1575.0,552.0,1575,0.45,0.45,0.45,SPX01181575P,2018-01-19,P
2017-10-27,2017-10-27,980.6,974.4,1600.0,3.0,1600,977.5,977.5,977.5,SPX01181600C,2018-01-19,C
2017-10-27,2017-10-27,0.6,0.4,1600.0,4361.0,1600,0.5,0.5,0.5,SPX01181600P,2018-01-19,P
2017-10-27,2017-10-27,955.7,949.6,1625.0,0.0,1625,952.65,952.65,952.65,SPX01181625C,2018-01-19,C
2017-10-27,2017-10-27,0.65,0.45,1625.0,4641.0,1625,0.55,0.55,0.55,SPX01181625P,2018-01-19,P
2017-10-27,2017-10-27,930.8,924.7,1650.0,0.0,1650,927.75,927.75,927.75,SPX01181650C,2018-01-19,C
2017-10-27,2017-10-27,0.65,0.45,1650.0,7842.0,1650,0.55,0.55,0.55,SPX01181650P,2018-01-19,P
2017-10-27,2017-10-27,906.0,899.8,1675.0,2.0,1675,902.9,902.9,902.9,SPX01181675C,2018-01-19,C
2017-10-27,2017-10-27,0.7,0.5,1675.0,3289.0,1675,0.65,0.65,0.65,SPX01181675P,2018-01-19,P
2017-10-27,2017-10-27,881.1,875.0,1700.0,297.0,1700,878.05,878.05,878.05,SPX01181700C,2018-01-19,C
2017-10-27,2017-10-27,0.75,0.55,1700.0,15892.0,1700,0.65,0.65,0.65,SPX01181700P,2018-01-19,P
2017-10-27,2017-10-27,856.3,850.1,1725.0,0.0,1725,853.2,853.2,853.2,SPX01181725C,2018-01-19,C
2017-10-27,2017-10-27,0.75,0.55,1725.0,605.0,1725,0.75,0.75,0.75,SPX01181725P,2018-01-19,P
2017-10-27,2017-10-27,831.4,825.3,1750.0,3.0,1750,828.35,828.35,828.35,SPX01181750C,2018-01-19,C
2017-10-27,2017-10-27,0.85,0.65,1750.0,4036.0,1750,0.75,0.75,0.75,SPX01181750P,2018-01-19,P
2017-10-27,2017-10-27,806.6,800.4,1775.0,1.0,1775,803.5,803.5,803.5,SPX01181775C,2018-01-19,C
2017-10-27,2017-10-27,0.9,0.7,1775.0,2859.0,1775,0.8,0.8,0.8,SPX01181775P,2018-01-19,P
2017-10-27,2017-10-27,781.7,775.6,1800.0,23.0,1800,778.5,771.7,771.7,SPX01181800C,2018-01-19,C
2017-10-27,2017-10-27,0.95,0.75,1800.0,9900.0,1800,0.95,0.85,0.95,SPX01181800P,2018-01-19,P
2017-10-27,2017-10-27,756.9,750.8,1825.0,1.0,1825,753.85,753.85,753.85,SPX01181825C,2018-01-19,C
2017-10-27,2017-10-27,1.05,0.8,1825.0,3073.0,1825,1.2,1.05,1.2,SPX01181825P,2018-01-19,P
2017-10-27,2017-10-27,732.1,726.0,1850.0,29.0,1850,729.05,729.05,729.05,SPX01181850C,2018-01-19,C
2017-10-27,2017-10-27,1.15,0.95,1850.0,8050.0,1850,1.16,1.03,1.16,SPX01181850P,2018-01-19,P
2017-10-27,2017-10-27,707.3,701.2,1875.0,2.0,1875,704.25,704.25,704.25,SPX01181875C,2018-01-19,C
2017-10-27,2017-10-27,1.25,1.05,1875.0,2217.0,1875,1.5,1.35,1.45,SPX01181875P,2018-01-19,P
2017-10-27,2017-10-27,682.5,676.4,1900.0,210.0,1900,679.45,679.45,679.45,SPX01181900C,2018-01-19,C
2017-10-27,2017-10-27,1.4,1.25,1900.0,14371.0,1900,1.6,1.25,1.6,SPX01181900P,2018-01-19,P
2017-10-27,2017-10-27,657.7,651.7,1925.0,18.0,1925,654.7,654.7,654.7,SPX01181925C,2018-01-19,C
2017-10-27,2017-10-27,1.45,1.25,1925.0,7899.0,1925,1.45,1.45,1.45,SPX01181925P,2018-01-19,P
2017-10-27,2017-10-27,632.9,626.9,1950.0,10.0,1950,629.9,629.9,629.9,SPX01181950C,2018-01-19,C
2017-10-27,2017-10-27,1.6,1.4,1950.0,12623.0,1950,1.6,1.53,1.6,SPX01181950P,2018-01-19,P
2017-10-27,2017-10-27,608.2,602.2,1975.0,56.0,1975,605.2,605.2,605.2,SPX01181975C,2018-01-19,C
2017-10-27,2017-10-27,1.8,1.55,1975.0,3874.0,1975,1.78,1.75,1.78,SPX01181975P,2018-01-19,P
2017-10-27,2017-10-27,583.5,577.5,2000.0,14140.0,2000,580.5,580.5,580.5,SPX01182000C,2018-01-19,C
2017-10-27,2017-10-27,2.0,1.8,2000.0,34178.0,2000,2.22,1.93,2.22,SPX01182000P,2018-01-19,P
2017-10-27,2017-10-27,558.8,552.9,2025.0,42.0,2025,555.85,555.85,555.85,SPX01182025C,2018-01-19,C
2017-10-27,2017-10-27,2.25,2.05,2025.0,8030.0,2025,2.18,2.1,2.15,SPX01182025P,2018-01-19,P
2017-10-27,2017-10-27,534.1,528.2,2050.0,97.0,2050,531.15,531.15,531.15,SPX01182050C,2018-01-19,C
2017-10-27,2017-10-27,2.5,2.25,2050.0,14866.0,2050,2.45,2.32,2.45,SPX01182050P,2018-01-19,P
2017-10-27,2017-10-27,509.5,503.6,2075.0,91.0,2075,506.55,506.55,506.55,SPX01182075C,2018-01-19,C
2017-10-27,2017-10-27,2.8,2.55,2075.0,7260.0,2075,2.67,2.66,2.67,SPX01182075P,2018-01-19,P
2017-10-27,2017-10-27,484.9,479.1,2100.0,332.0,2100,476.9,476.9,476.9,SPX01182100C,2018-01-19,C
2017-10-27,2017-10-27,3.2,3.0,2100.0,17408.0,2100,3.35,2.9,3.35,SPX01182100P,2018-01-19,P
2017-10-27,2017-10-27,460.4,454.6,2125.0,60.0,2125,457.5,457.5,457.5,SPX01182125C,2018-01-19,C
2017-10-27,2017-10-27,3.5,3.2,2125.0,6555.0,2125,3.65,3.3,3.65,SPX01182125P,2018-01-19,P
2017-10-27,2017-10-27,435.9,430.1,2150.0,1226.0,2150,433.0,433.0,433.0,SPX01182150C,2018-01-19,C
2017-10-27,2017-10-27,3.9,3.6,2150.0,15726.0,2150,4.45,3.76,4.45,SPX01182150P,2018-01-19,P
2017-10-27,2017-10-27,411.4,405.7,2175.0,83.0,2175,408.55,408.55,408.55,SPX01182175C,2018-01-19,C
2017-10-27,2017-10-27,4.4,4.0,2175.0,3887.0,2175,4.5,4.4,4.5,SPX01182175P,2018-01-19,P
2017-10-27,2017-10-27,386.9,381.3,2200.0,875.0,2200,384.1,384.1,384.1,SPX01182200C,2018-01-19,C
2017-10-27,2017-10-27,4.9,4.6,2200.0,25999.0,2200,5.37,4.67,5.37,SPX01182200P,2018-01-19,P
2017-10-27,2017-10-27,362.6,357.1,2225.0,328.0,2225,359.85,359.85,359.85,SPX01182225C,2018-01-19,C
2017-10-27,2017-10-27,5.6,5.2,2225.0,6638.0,2225,6.04,5.3,6.04,SPX01182225P,2018-01-19,P
2017-10-27,2017-10-27,338.4,332.9,2250.0,4203.0,2250,335.65,335.65,335.65,SPX01182250C,2018-01-19,C
2017-10-27,2017-10-27,6.3,5.9,2250.0,37774.0,2250,7.35,6.05,7.35,SPX01182250P,2018-01-19,P
2017-10-27,2017-10-27,314.2,308.9,2275.0,3643.0,2275,310.5,301.6,301.6,SPX01182275C,2018-01-19,C
2017-10-27,2017-10-27,7.0,6.7,2275.0,13523.0,2275,7.58,6.85,7.58,SPX01182275P,2018-01-19,P
2017-10-27,2017-10-27,290.2,284.9,2300.0,5393.0,2300,287.55,287.55,287.55,SPX01182300C,2018-01-19,C
2017-10-27,2017-10-27,8.0,7.6,2300.0,38905.0,2300,9.2,7.8,9.2,SPX01182300P,2018-01-19,P
2017-10-27,2017-10-27,266.2,261.0,2325.0,3563.0,2325,263.6,263.6,263.6,SPX01182325C,2018-01-19,C
2017-10-27,2017-10-27,8.9,8.5,2325.0,12884.0,2325,9.1,8.69,9.1,SPX01182325P,2018-01-19,P
2017-10-27,2017-10-27,242.4,237.4,2350.0,5564.0,2350,239.9,239.9,239.9,SPX01182350C,2018-01-19,C
2017-10-27,2017-10-27,10.1,9.7,2350.0,21432.0,2350,12.0,10.0,12.0,SPX01182350P,2018-01-19,P
2017-10-27,2017-10-27,218.8,213.9,2375.0,3559.0,2375,216.35,216.35,216.35,SPX01182375C,2018-01-19,C
2017-10-27,2017-10-27,11.5,11.0,2375.0,18653.0,2375,13.2,12.6,13.2,SPX01182375P,2018-01-19,P
2017-10-27,2017-10-27,195.4,190.7,2400.0,9602.0,2400,193.05,193.05,193.05,SPX01182400C,2018-01-19,C
2017-10-27,2017-10-27,13.2,12.7,2400.0,30649.0,2400,15.2,13.1,15.2,SPX01182400P,2018-01-19,P
2017-10-27,2017-10-27,172.0,167.5,2425.0,5226.0,2425,169.75,169.75,169.75,SPX01182425C,2018-01-19,C
